# generated by STOCK (http://stock.cmm.ki.si)
SPC_POTENTIAL
N 995

 598 3.61561560 0.00000000 -0.00000000
 599 3.62162160 0.00000000 -0.00000000
 600 3.62762760 0.00000000 -0.00000000
 601 3.63363360 0.00000000 -0.00000000
 602 3.63963960 0.00000000 -0.00000000
 603 3.64564560 0.00000000 -0.00000000
 604 3.65165170 0.00000000 -0.00000000
 605 3.65765770 0.00000000 -0.00000000
 606 3.66366370 0.00000000 -0.00000000
 607 3.66966970 0.00000000 -0.00000000
 608 3.67567570 0.00000000 -0.00000000
 609 3.68168170 0.00000000 -0.00000000
 610 3.68768770 0.00000000 -0.00000000
 611 3.69369370 0.00000000 -0.00000000
 612 3.69969970 0.00000000 -0.00000000
